evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
372752,2026-09-10T14:02:58.661701+00:00,134335225786617016,5832,Env.exe,Registry,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,0x00000000,"{""Desired Access"": ""Query Value, Enumerate Sub Keys""}"
372753,2026-09-10T14:02:58.661821+00:00,134335225786618214,5832,Env.exe,Registry,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies,0xc0000034,"{""Length"": 24}"
372754,2026-09-10T14:02:58.661938+00:00,134335225786619382,5832,Env.exe,Registry,RegCloseKey,HKLM\System\CurrentControlSet\Control\Session Manager,0x00000000,{}
372762,2026-09-10T14:02:58.663977+00:00,134335225786639776,5832,Env.exe,File_System,CreateFile,C:\Windows,0x00000000,"{""Desired Access"": ""Execute/Traverse, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
372766,2026-09-10T14:02:58.665723+00:00,134335225786657239,5832,Env.exe,Process,Load_Image,C:\Windows\System32\wow64.dll,0x00000000,"{""Image Base"": 140728677105664, ""Image Size"": 364544}"
372773,2026-09-10T14:02:58.667346+00:00,134335225786673466,5832,Env.exe,Process,Load_Image,C:\Windows\System32\wow64win.dll,0x00000000,"{""Image Base"": 140728691589120, ""Image Size"": 536576}"
372778,2026-09-10T14:02:58.669106+00:00,134335225786691069,5832,Env.exe,File_System,QueryOpen,C:\Windows\System32\wow64log.dll,0xc01c0004,{}
372785,2026-09-10T14:02:58.669851+00:00,134335225786698519,5832,Env.exe,File_System,CreateFile,C:\Windows\System32\wow64log.dll,0xc0000034,"{""Desired Access"": ""Read Attributes"", ""Disposition"": ""Open"", ""Options"": ""Open Reparse Point"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a""}"
372791,2026-09-10T14:02:58.671696+00:00,134335225786716966,5832,Env.exe,File_System,CreateFile,C:\Windows,0x00000000,"{""Desired Access"": ""Read Attributes, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
372795,2026-09-10T14:02:58.671967+00:00,134335225786719678,5832,Env.exe,File_System,QueryNameInformationFile,C:\Windows,0x00000000,"{""Name"": ""\\Windows""}"
