date_utc,evenement,numero_serie,registre,cle,valeur,donnee_hex,precision
2020-02-03T12:12:31.7661668+00:00,derniere_installation,4C530000281008116284,SYSTEM,ControlSet001\Enum\USB\VID_0781&PID_5567\4C530000281008116284\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0064,(Default),e409f2358bdad501,100 ns dans la valeur ; exactitude de l’horloge non vérifiée.
2020-02-03T12:12:31.7661668+00:00,premiere_installation,4C530000281008116284,SYSTEM,ControlSet001\Enum\USB\VID_0781&PID_5567\4C530000281008116284\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0065,(Default),e409f2358bdad501,100 ns dans la valeur ; exactitude de l’horloge non vérifiée.
2020-02-03T12:12:32.1649055+00:00,derniere_installation,4C530000281008116284,SYSTEM,ControlSet001\Enum\USBSTOR\Disk&Ven_SanDisk&Prod_Cruzer_Blade&Rev_1.00\4C530000281008116284&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0064,(Default),9fe12e368bdad501,100 ns dans la valeur ; exactitude de l’horloge non vérifiée.
2020-02-03T12:12:32.1649055+00:00,premiere_installation,4C530000281008116284,SYSTEM,ControlSet001\Enum\USBSTOR\Disk&Ven_SanDisk&Prod_Cruzer_Blade&Rev_1.00\4C530000281008116284&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0065,(Default),9fe12e368bdad501,100 ns dans la valeur ; exactitude de l’horloge non vérifiée.
2020-02-03T12:44:21.5615172+00:00,derniere_connexion,4C530000281008116284,SYSTEM,ControlSet001\Enum\USB\VID_0781&PID_5567\4C530000281008116284\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,(Default),c4ae45a88fdad501,100 ns dans la valeur ; exactitude de l’horloge non vérifiée.
2020-02-03T12:44:21.6080975+00:00,derniere_connexion,4C530000281008116284,SYSTEM,ControlSet001\Enum\USBSTOR\Disk&Ven_SanDisk&Prod_Cruzer_Blade&Rev_1.00\4C530000281008116284&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,(Default),4fca4ca88fdad501,100 ns dans la valeur ; exactitude de l’horloge non vérifiée.
2020-02-03T12:44:21.983459+00:00,modification_mountpoints2,4C530000281008116284,NTUSER.DAT,Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\{635b1205-467e-11ea-ba75-000c295e7ac0},Horodatage de la clé,,Dernière modification de la clé ; ne date pas une copie de fichiers.
2020-02-03T12:45:00.9033637+00:00,dernier_retrait,4C530000281008116284,SYSTEM,ControlSet001\Enum\USB\VID_0781&PID_5567\4C530000281008116284\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0067,(Default),a5c5b8bf8fdad501,100 ns dans la valeur ; exactitude de l’horloge non vérifiée.
2020-02-03T12:45:00.9033637+00:00,dernier_retrait,4C530000281008116284,SYSTEM,ControlSet001\Enum\USBSTOR\Disk&Ven_SanDisk&Prod_Cruzer_Blade&Rev_1.00\4C530000281008116284&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0067,(Default),a5c5b8bf8fdad501,100 ns dans la valeur ; exactitude de l’horloge non vérifiée.
