evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
126337,2026-09-10T10:33:41.670372+00:00,134335100216703724,4784,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Offset"": 4194304, ""Length"": 524288}"
126341,2026-09-10T10:33:41.672194+00:00,134335100216721941,4784,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Offset"": 4718592, ""Length"": 524288}"
126348,2026-09-10T10:33:41.674249+00:00,134335100216742491,4784,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Offset"": 5242880, ""Length"": 524288}"
126357,2026-09-10T10:33:41.675966+00:00,134335100216759661,4784,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Offset"": 5767168, ""Length"": 524288}"
126360,2026-09-10T10:33:41.678090+00:00,134335100216780905,4784,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Offset"": 6291456, ""Length"": 64000}"
126361,2026-09-10T10:33:41.678932+00:00,134335100216789322,4784,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126363,2026-09-10T10:33:41.679592+00:00,134335100216795921,4784,xcopy.exe,File_System,QueryRemoteProtocolInformation,C:\WindSyst\Qt5Widgets.dll,0xc000000d,{}
126365,2026-09-10T10:33:41.679854+00:00,134335100216798548,4784,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126384,2026-09-10T10:33:41.686252+00:00,134335100216862520,4784,xcopy.exe,File_System,QueryOpen,C:\WindSyst\Qt5Widgets.dll,0xc01c0004,{}
126390,2026-09-10T10:33:41.687134+00:00,134335100216871340,4784,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Desired Access"": ""Read Attributes"", ""Disposition"": ""Open"", ""Options"": ""Open Reparse Point"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
