evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
100806,2026-09-10T10:33:34.519863+00:00,134335100145198631,6064,Res.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 5236, ""Command line"": ""\""C:\\lab\\sample\\virus\\Res.exe\"""", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
120877,2026-09-10T10:33:40.302037+00:00,134335100203020377,4452,xcopy.exe,File_System,WriteFile,C:\WindSyst\Res.exe,0x00000000,"{""Offset"": 0, ""Length"": 25088, ""Priority"": ""Normal""}"
123465,2026-09-10T10:33:40.923890+00:00,134335100209238901,5548,xcopy.exe,File_System,WriteFile,C:\WindSyst\Env.exe,0x00000000,"{""Offset"": 0, ""Length"": 53248, ""Priority"": ""Normal""}"
142639,2026-09-10T10:33:45.650713+00:00,134335100256507134,6064,Res.exe,Registry,RegSetValue,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Res,0x00000000,"{""Type"": ""REG_SZ"", ""Length"": 40, ""Data"": ""C:\\WindSyst\\Res.exe""}"
142667,2026-09-10T10:33:45.656706+00:00,134335100256567069,6064,Res.exe,Registry,RegSetValue,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Env,0x00000000,"{""Type"": ""REG_SZ"", ""Length"": 40, ""Data"": ""C:\\WindSyst\\Env.exe""}"
155195,2026-09-10T10:34:02.714294+00:00,134335100427142949,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 0, ""Length"": 1, ""Priority"": ""Normal""}"
164043,2026-09-10T10:34:21.830877+00:00,134335100618308772,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 1, ""Length"": 1, ""Priority"": ""Normal""}"
206109,2026-09-10T10:35:07.176571+00:00,134335101071765713,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 2, ""Length"": 1, ""Priority"": ""Normal""}"
206125,2026-09-10T10:35:07.199264+00:00,134335101071992641,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 3, ""Length"": 1, ""Priority"": ""Normal""}"
206136,2026-09-10T10:35:07.273147+00:00,134335101072731479,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 4, ""Length"": 1, ""Priority"": ""Normal""}"
208572,2026-09-10T10:35:25.779027+00:00,134335101257790270,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 5, ""Length"": 1, ""Priority"": ""Normal""}"
208585,2026-09-10T10:35:25.841089+00:00,134335101258410893,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 6, ""Length"": 1, ""Priority"": ""Normal""}"
210741,2026-09-10T10:35:44.914287+00:00,134335101449142874,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 7, ""Length"": 1, ""Priority"": ""Normal""}"
210754,2026-09-10T10:35:44.955481+00:00,134335101449554810,6064,Res.exe,File_System,WriteFile,C:\WindSyst\log.txt,0x00000000,"{""Offset"": 8, ""Length"": 1, ""Priority"": ""Normal""}"
